Adults,Infants,Preschoolers,School-Age,Teenager,Housing,Child Care,Food,Transportation,Health Care,Miscellaneous,Taxes,Earned Income Tax Credit,Child Care Tax Credit,Child Tax Credit,Hourly,Monthly,Annual,Monthly Savings Contribution
3,2,0,1,3,1455.83,2126.59,2194.39,445.35,689.45,691.16,1837.11,0,-100,-500,25.11,8839.87,106078.46,139.96
3,2,0,0,4,1455.83,1510.28,2214.32,445.35,704.83,633.06,1508.86,0,-100,-500,22.37,7872.52,94470.27,120.63
3,1,5,0,0,1455.83,4350.94,1912.68,445.35,602.66,876.75,2864.23,0,-100,-500,33.83,11908.43,142901.14,234.32
3,1,4,1,0,1455.83,4248.09,1969.74,445.35,612.05,873.11,2840.72,0,-100,-500,33.65,11844.88,142138.59,232.95
3,1,4,0,1,1455.83,3631.78,1989.67,445.35,627.43,815.01,2436.6,0,-100,-500,30.69,10801.67,129619.98,210.48
3,1,3,2,0,1455.83,4145.24,2026.81,445.35,621.43,869.47,2817.22,0,-100,-500,33.47,11781.34,141376.03,231.58
3,1,3,1,1,1455.83,3528.93,2046.74,445.35,636.81,811.37,2413.1,0,-100,-500,30.51,10738.12,128857.43,209.11
3,1,3,0,2,1455.83,2912.62,2066.67,445.35,652.19,753.27,2110.37,0,-100,-500,27.83,9796.29,117555.47,186.63
3,1,2,3,0,1455.83,4042.39,2083.88,445.35,630.81,865.83,2793.71,0,-100,-500,33.29,11717.79,140613.48,230.21
3,1,2,2,1,1455.83,3426.08,2103.81,445.35,646.19,807.73,2389.59,0,-100,-500,30.33,10674.57,128094.88,207.74
3,1,2,1,2,1455.83,2809.77,2123.74,445.35,661.57,749.63,2095.74,0,-100,-500,27.68,9741.62,116899.42,185.26
3,1,2,0,3,1455.83,2193.46,2143.67,445.35,676.95,691.53,1837.32,0,-100,-500,25.13,8844.1,106129.23,140.05
3,1,1,4,0,1455.83,3939.54,2140.95,445.35,640.19,862.19,2770.2,0,-100,-500,33.11,11654.24,139850.92,228.84
3,1,1,3,1,1455.83,3323.23,2160.88,445.35,655.58,804.09,2366.09,0,-100,-500,30.15,10611.03,127332.32,206.37
3,1,1,2,2,1455.83,2706.92,2180.81,445.35,670.96,745.99,2081.1,0,-100,-500,27.52,9686.95,116243.37,183.89
3,1,1,1,3,1455.83,2090.61,2200.74,445.35,686.34,687.89,1822.69,0,-100,-500,24.97,8789.43,105473.17,138.88
3,1,1,0,4,1455.83,1474.3,2220.67,445.35,701.72,629.79,1494.44,0,-100,-500,22.22,7822.08,93864.99,119.54
